                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7483,                 3.1728,                 1.7473,                 0.6674,                0.31364,                0.31662,                0.13613,                 1.7221,                 2.2479,                 1.7657,              0.0033281,              0.0033281,              0.0033281
                      2,                 1.6398,                 2.3208,                 1.6725,                0.51976,                0.44575,                0.43191,                0.19663,                  1.764,                 1.8707,                 1.8459,              0.0065955,              0.0065955,              0.0065955
                      3,                 1.6867,                 2.0877,                 1.7194,                0.47998,                0.40754,                0.37688,                0.15883,                 1.9378,                 2.0379,                 2.0063,              0.0097968,              0.0097968,              0.0097968
                      4,                 1.7301,                  2.007,                 1.7649,                0.47691,                0.41957,                 0.3915,                0.17267,                 1.8313,                 1.8131,                 1.9824,               0.009703,               0.009703,               0.009703
                      5,                 1.6881,                 1.8797,                 1.7535,                0.62052,                0.47994,                0.55792,                0.25998,                 1.7205,                 1.5327,                  1.842,               0.009604,               0.009604,               0.009604
                      6,                 1.6518,                 1.7678,                  1.725,                0.61714,                0.52734,                0.57226,                 0.2661,                 1.7158,                 1.4079,                 1.7902,               0.009505,               0.009505,               0.009505
                      7,                 1.6313,                 1.6808,                 1.7023,                0.66036,                0.56462,                0.65366,                0.32202,                 1.6447,                 1.3163,                 1.7587,               0.009406,               0.009406,               0.009406
                      8,                 1.5891,                 1.6104,                 1.6849,                0.63756,                0.57107,                0.61937,                0.29649,                 1.6843,                 1.3385,                 1.7763,               0.009307,               0.009307,               0.009307
                      9,                 1.5764,                 1.5441,                 1.6653,                0.72324,                0.58753,                0.66936,                0.34187,                 1.6325,                 1.2524,                 1.7267,               0.009208,               0.009208,               0.009208
                     10,                 1.5581,                 1.5062,                 1.6502,                0.73966,                0.62276,                 0.6906,                0.35463,                 1.6049,                 1.1224,                 1.7141,               0.009109,               0.009109,               0.009109
                     11,                 1.5304,                 1.4447,                 1.6224,                 0.7437,                0.67413,                0.74556,                0.39483,                 1.5611,                 1.1018,                 1.6645,                0.00901,                0.00901,                0.00901
                     12,                 1.5104,                 1.4198,                 1.6181,                0.74238,                0.66317,                0.73267,                0.38226,                 1.5737,                 1.0988,                 1.6702,               0.008911,               0.008911,               0.008911
                     13,                 1.5015,                 1.3757,                 1.5962,                0.70721,                0.68544,                0.73787,                0.39109,                  1.559,                 1.0678,                 1.6306,               0.008812,               0.008812,               0.008812
                     14,                 1.4835,                 1.3333,                  1.585,                0.73692,                0.65892,                0.71373,                0.36637,                 1.5767,                  1.051,                 1.6542,               0.008713,               0.008713,               0.008713
                     15,                 1.4716,                 1.3073,                 1.5768,                0.77881,                0.67635,                0.76566,                0.41995,                  1.532,                 1.0158,                 1.6231,               0.008614,               0.008614,               0.008614
                     16,                 1.4638,                 1.2875,                 1.5692,                0.77022,                0.67761,                0.76314,                0.41662,                 1.5054,                0.99014,                 1.6066,               0.008515,               0.008515,               0.008515
                     17,                 1.4429,                 1.2662,                 1.5573,                0.77517,                0.75596,                0.79738,                0.43539,                 1.5226,                0.95261,                 1.6004,               0.008416,               0.008416,               0.008416
                     18,                 1.4353,                  1.235,                 1.5421,                0.80554,                0.73325,                0.79909,                0.43704,                 1.4924,                0.93237,                 1.5887,               0.008317,               0.008317,               0.008317
                     19,                 1.4192,                 1.2021,                 1.5293,                0.81929,                0.76069,                0.81477,                0.44821,                 1.4898,                0.91528,                 1.5872,               0.008218,               0.008218,               0.008218
                     20,                 1.4012,                 1.1697,                 1.5165,                0.81324,                0.77753,                0.81646,                0.46417,                 1.4684,                0.89226,                 1.5674,               0.008119,               0.008119,               0.008119
                     21,                 1.3938,                 1.1555,                 1.5119,                0.80467,                 0.7675,                0.81617,                0.46371,                 1.4635,                0.87639,                 1.5513,                0.00802,                0.00802,                0.00802
                     22,                   1.39,                 1.1449,                 1.5069,                 0.8353,                0.76281,                0.83247,                0.47786,                 1.4543,                0.84917,                 1.5442,               0.007921,               0.007921,               0.007921
                     23,                 1.3854,                  1.112,                 1.4931,                0.79532,                0.77429,                0.81788,                0.45947,                 1.4454,                0.86263,                 1.5381,               0.007822,               0.007822,               0.007822
                     24,                 1.3728,                 1.1037,                 1.4807,                0.84248,                 0.7747,                0.82951,                0.48545,                 1.4381,                0.83235,                 1.5289,               0.007723,               0.007723,               0.007723
                     25,                  1.359,                 1.0859,                 1.4806,                0.85043,                0.75759,                0.83434,                0.49012,                 1.4059,                0.81604,                 1.5113,               0.007624,               0.007624,               0.007624
                     26,                 1.3446,                 1.0645,                  1.465,                0.82663,                0.77597,                0.83968,                0.49004,                 1.4135,                0.79938,                 1.5133,               0.007525,               0.007525,               0.007525
                     27,                 1.3433,                 1.0552,                 1.4609,                0.83861,                0.78797,                0.84123,                0.49652,                 1.4025,                0.81027,                 1.4979,               0.007426,               0.007426,               0.007426
                     28,                 1.3342,                 1.0391,                 1.4541,                0.85507,                0.77135,                0.85863,                0.51378,                 1.3943,                0.77826,                 1.4915,               0.007327,               0.007327,               0.007327
                     29,                 1.3228,                 1.0152,                 1.4386,                0.85308,                0.77928,                0.84374,                0.49762,                 1.3951,                0.78729,                 1.4944,               0.007228,               0.007228,               0.007228
                     30,                 1.3191,                 1.0149,                  1.443,                0.84758,                0.77364,                0.85562,                0.51503,                 1.3837,                0.78122,                 1.4842,               0.007129,               0.007129,               0.007129
                     31,                  1.302,                0.99219,                 1.4348,                0.85994,                0.79879,                0.86482,                0.52783,                 1.3722,                0.75973,                 1.4822,                0.00703,                0.00703,                0.00703
                     32,                 1.2974,                0.98143,                 1.4246,                0.84002,                0.80564,                 0.8654,                0.52346,                 1.3725,                0.73743,                 1.4749,               0.006931,               0.006931,               0.006931
                     33,                 1.2811,                0.96715,                 1.4134,                0.84041,                0.79517,                 0.8554,                0.51841,                  1.369,                0.73715,                  1.475,               0.006832,               0.006832,               0.006832
                     34,                 1.2804,                0.95755,                  1.413,                0.84795,                 0.8009,                0.86168,                0.51692,                  1.367,                0.73982,                 1.4752,               0.006733,               0.006733,               0.006733
                     35,                 1.2712,                0.94311,                  1.405,                0.85317,                0.80277,                 0.8683,                0.52712,                 1.3456,                0.72516,                 1.4538,               0.006634,               0.006634,               0.006634
                     36,                 1.2643,                 0.9522,                 1.3992,                0.86305,                0.80561,                0.87309,                0.52103,                 1.3404,                0.71984,                 1.4464,               0.006535,               0.006535,               0.006535
                     37,                 1.2622,                0.91958,                 1.3902,                0.85957,                0.81478,                0.87088,                0.53912,                 1.3292,                0.70703,                 1.4439,               0.006436,               0.006436,               0.006436
                     38,                 1.2545,                0.91884,                 1.3863,                0.84405,                0.82711,                0.87491,                0.53204,                 1.3344,                 0.7045,                 1.4385,               0.006337,               0.006337,               0.006337
                     39,                  1.247,                0.91707,                 1.3813,                0.85049,                0.82531,                0.86806,                0.54514,                 1.3248,                0.69709,                 1.4345,               0.006238,               0.006238,               0.006238
                     40,                 1.2321,                0.90503,                  1.374,                  0.857,                0.82363,                0.87235,                0.54416,                 1.3247,                0.68899,                 1.4458,               0.006139,               0.006139,               0.006139
                     41,                 1.2231,                0.88772,                 1.3652,                0.88567,                0.80656,                0.88523,                0.54507,                 1.3175,                0.67982,                 1.4333,                0.00604,                0.00604,                0.00604
                     42,                 1.2316,                0.87911,                 1.3685,                0.87376,                0.82163,                0.88502,                0.55042,                  1.315,                0.67448,                 1.4358,               0.005941,               0.005941,               0.005941
                     43,                 1.2111,                0.87443,                 1.3612,                0.86253,                0.82474,                 0.8858,                0.55361,                 1.3111,                0.67195,                 1.4291,               0.005842,               0.005842,               0.005842
                     44,                 1.2012,                0.85585,                 1.3475,                 0.8495,                0.82399,                0.87946,                0.54888,                 1.3198,                0.66919,                 1.4326,               0.005743,               0.005743,               0.005743
                     45,                 1.2045,                0.85809,                 1.3541,                0.87604,                0.81709,                0.88947,                0.55328,                 1.2996,                0.66781,                 1.4227,               0.005644,               0.005644,               0.005644
                     46,                 1.1932,                0.84667,                 1.3418,                0.81996,                0.85905,                0.88644,                0.56134,                 1.2966,                0.66833,                 1.4129,               0.005545,               0.005545,               0.005545
                     47,                 1.1866,                0.84157,                 1.3397,                0.84156,                0.84948,                0.87866,                0.55635,                 1.2886,                 0.6607,                 1.4086,               0.005446,               0.005446,               0.005446
                     48,                 1.1807,                0.83516,                 1.3365,                0.87354,                0.82458,                0.88864,                0.56123,                 1.2933,                0.64685,                 1.4125,               0.005347,               0.005347,               0.005347
                     49,                 1.1768,                0.82704,                 1.3345,                0.86223,                 0.8505,                0.89132,                0.55762,                 1.2894,                0.63996,                 1.4188,               0.005248,               0.005248,               0.005248
                     50,                 1.1698,                0.81271,                 1.3241,                0.86535,                0.83074,                0.88633,                0.56332,                 1.2713,                0.63582,                 1.4031,               0.005149,               0.005149,               0.005149
